,Product Name,Price,Quantity,Discount,Prize badge,Product Link,Product pid
59,Danúbio Espumante Branco Meio Seco,6.59,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/danubio-espumante-branco-meio-seco-danubio-2050133.html,2050133
60,Duc de Paris Espumante Branco Bruto,3.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/duc-de-paris-espumante-branco-bruto-duc-de-paris-6719519.html,6719519
61,Fita Azul Blanc De Blancs Reserva Espumante Bruto Branco,9.69,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/fita-azul-blanc-de-blancs-reserva-espumante-bruto-branco-fita-azul-6862929.html,6862929
62,Marquês de Marialva Bical Arinto Reserva Espumante DOC Bairrada Branco Bruto,14.49,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/marques-de-marialva-bical-arinto-reserva-espumante-doc-bairrada-branco-bruto-marques-de-marialva-6432812.html,6432812
63,Raposeira Espumante Super Reserva DOC Távora-Varosa Tinto Bruto,11.19,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/raposeira-espumante-super-reserva-doc-tavora-varosa-tinto-bruto-raposeira-4791410.html,4791410
64,Murganheira Velha Reserva Espumante Velha Reserva Doc Távora-Varosa Branco Bruto,16.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/murganheira-velha-reserva-espumante-velha-reserva-doc-tavora-varosa-branco-bruto-murganheira-2443054.html,2443054
65,Raposeira Espumante Super Reserva Blanc de Blancs Doc Távora-Varosa Branco Bruto,11.19,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/raposeira-espumante-super-reserva-blanc-de-blancs-doc-tavora-varosa-branco-bruto-raposeira-4791325.html,4791325
66,Rocca Gloriosa Espumante Branco Doce,3.19,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/rocca-gloriosa-espumante-branco-doce-rocca-gloriosa-5546258.html,5546258
67,Montanha Reserva Blanc de Blancs Espumante Branco Bruto,8.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/montanha-reserva-blanc-de-blancs-espumante-branco-bruto-caves-da-montanha-7320112.html,7320112
68,Murganheira Grande Reserva Espumante DOC Távora-Varosa Branco Bruto,30.59,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/murganheira-grande-reserva-espumante-doc-tavora-varosa-branco-bruto-murganheira-5423042.html,5423042
69,Colinas de São Lourenço Bruto Nature Espumante Bairrada,27.20,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/colinas-de-sao-lourenco-bruto-nature-espumante-bairrada-colinas-de-sao-lourenco-7695705.html,7695705
70,Freixenet Espumante Seco Carta Rosé,7.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/freixenet-espumante-seco-carta-rose-freixenet-7798008.html,7798008
71,Contemporal Espumante Tinto Bruto,3.59,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/contemporal-espumante-tinto-bruto-contemporal-6948511.html,6948511
72,Fita Azul Celebration Reserva Espumante Branco Meio Seco,6.19,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/fita-azul-celebration-reserva-espumante-branco-meio-seco-fita-azul-2050484.html,2050484
73,São Domingos Espumante Extra Reserva Doc Bairrada Branco Bruto,6.89,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/sao-domingos-espumante-extra-reserva-doc-bairrada-branco-bruto-sao-domingos-3593581.html,3593581
74,Espumante Borlido Bruto Branco,5.99,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/espumante-borlido-bruto-branco-borlido-7559192.html,7559192
75,Fita Azul Blanc De Blancs Reserva Espumante Meio Seco Branco,9.69,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/fita-azul-blanc-de-blancs-reserva-espumante-meio-seco-branco-fita-azul-5943634.html,5943634
76,Soalheiro Nature Pure Terroir Espumante Vinho Verde,26.30,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/soalheiro-nature-pure-terroir-espumante-vinho-verde-soalheiro-7695273.html,7695273
77,Casal Garcia Fruitzy Pêssego,4.69,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/casal-garcia-fruitzy-pessego-casal-garcia-7740555.html,7740555
78,Bar Royal Espumante Rosé,4.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/bar-royal-espumante-rose-bar-royal-7450548.html,7450548
79,Abbazia Espumante Asti Branco Doce,5.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/abbazia-espumante-asti-branco-doce-abbazia-4513340.html,4513340
80,Freixenet Carta Nevada Espumante Branco Meio Seco,7.49,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/freixenet-carta-nevada-espumante-branco-meio-seco-freixenet-4119862.html,4119862
81,Cocktail Aromatizado Bar Royal Strawberry,4.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cocktail-aromatizado-bar-royal-strawberry-bar-royal-6544394.html,6544394
82,Martini Bellini,10.59,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/martini-bellini-martini-7579137.html,7579137
83,Murganheira Touriga Nacional Bruto Espumante Douro,24.59,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/murganheira-touriga-nacional-bruto-espumante-douro-murganheira-7695134.html,7695134
84,Murganheira Extrême de Pinot Blanc Espumante Douro,24.39,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/murganheira-extreme-de-pinot-blanc-espumante-douro-murganheira-7695129.html,7695129
85,São Domingos Classic Espumante Branco Doce,5.49,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/sao-domingos-classic-espumante-branco-doce-sao-domingos-4802814.html,4802814
86,Contemporal Espumante Branco Doce,3.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/contemporal-espumante-branco-doce-contemporal-6948508.html,6948508
87,Continente Espumante Moscato Branco Doce,3.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/continente-espumante-moscato-branco-doce-continente-5717672.html,5717672
88,Continente Espumante Moscato Rosé Doce,3.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/continente-espumante-moscato-rose-doce-continente-5717677.html,5717677
89,Cocktail Aromatizado Bar Royal Limão,4.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cocktail-aromatizado-bar-royal-limao-bar-royal-4379970.html,4379970
90,Marquês de Marialva Blanc de Blancs Espumante Regional Beira Atlântico Branco Meio Seco,7.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/marques-de-marialva-blanc-de-blancs-espumante-regional-beira-atlantico-branco-meio-seco-marques-de-marialva-2231195.html,2231195
91,Cocktail Aromatizado Bar Royal Pêssego,4.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cocktail-aromatizado-bar-royal-pessego-bar-royal-5813773.html,5813773
92,Contri Selection Espumante Branco Doce,2.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/contri-selection-espumante-branco-doce-contri-5552050.html,5552050
93,Cocktail Aromatizado Bar Royal Coco,4.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cocktail-aromatizado-bar-royal-coco-bar-royal-7173081.html,7173081
94,Marquês de Marialva Espumante Bical & Arinto Regional Beira Atlântico Branco Bruto,8.49,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/marques-de-marialva-espumante-bical-arinto-regional-beira-atlantico-branco-bruto-marques-de-marialva-6741392.html,6741392
95,Cabriz Espumante DOC Dão Branco Bruto,7.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cabriz-espumante-doc-dao-branco-bruto-quinta-de-cabriz-2429032.html,2429032
96,Cocktail Aromatizado Bar Royal Green Apple,4.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cocktail-aromatizado-bar-royal-green-apple-bar-royal-7173082.html,7173082
97,Fita Azul Celebration Reserva Espumante Branco Doce,6.19,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/fita-azul-celebration-reserva-espumante-branco-doce-fita-azul-2050586.html,2050586
98,Cocktail Aromatizado Casal Garcia Fruitzy Pera,4.69,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cocktail-aromatizado-casal-garcia-fruitzy-pera-casal-garcia-7576700.html,7576700
99,Cocktail Aromatizado Bar Royal Mango,4.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cocktail-aromatizado-bar-royal-mango-bar-royal-6198652.html,6198652
100,Cocktail Aromatizado Casal Garcia Fruitzy Morango,4.69,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cocktail-aromatizado-casal-garcia-fruitzy-morango-casal-garcia-7576684.html,7576684
101,Espumante Bruto Cruz Blanc des Blancs Branco Bruto,7.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/espumante-bruto-cruz-blanc-des-blancs-branco-bruto-gran-cruz-7646624.html,7646624
102,Raposeira Espumante Super Reserva Doc Távora-Varosa Rosé Bruto,11.19,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/raposeira-espumante-super-reserva-doc-tavora-varosa-rose-bruto-raposeira-4791474.html,4791474
103,Raposeira Espumante Velha Reserva DOC Távora-Varosa Branco Bruto,17.39,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/raposeira-espumante-velha-reserva-doc-tavora-varosa-branco-bruto-raposeira-2307976.html,2307976
104,Santa Cristina Reserva Branco Bruto Espumante Vinho Verde,12.99,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/santa-cristina-reserva-branco-bruto-espumante-vinho-verde-santa-cristina-7696198.html,7696198
105,Rocca Gloriosa Espumante Branco Bruto,3.19,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/rocca-gloriosa-espumante-branco-bruto-rocca-gloriosa-5546257.html,5546257
106,Espumante Plexus Regional Tejo Rosé Bruto,2.49,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/espumante-plexus-regional-tejo-rose-bruto-plexus-4099036.html,4099036
107,Freixenet Ice Espumante Branco Meio Seco,9.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/freixenet-ice-espumante-branco-meio-seco-freixenet-5884951.html,5884951
108,Espumante Magos Extra Bruto Branco,1.59,garrafa 20 cl,n/a,n/a,https://www.continente.pt/produto/espumante-magos-extra-bruto-branco-magos-7635782.html,7635782
109,Espumante Freixenet Ice Rosé Meio Seco,9.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/espumante-freixenet-ice-rose-meio-seco-freixenet-6215626.html,6215626
110,Champagne Gosset Grand Rosé Brut,65.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/champagne-gosset-grand-rose-brut-gosset-7682120.html,7682120
111,Fita Blanc de Blancs Reserva Espumante Branco Doce,9.69,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/fita-blanc-de-blancs-reserva-espumante-branco-doce-fita-azul-7166140.html,7166140
112,Casal Garcia Sparkling Espumante Branco Meio Seco,6.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/casal-garcia-sparkling-espumante-branco-meio-seco-casal-garcia-4810589.html,4810589
113,Favaios Espumante Rosé Meio Seco Douro,6.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/favaios-espumante-rose-meio-seco-douro-favaios-7695099.html,7695099
