,Product Name,Price,Quantity,Discount,Prize badge,Product Link,Product pid
1959,Quinta dos Avidagos Grande Reserva Douro Vinho Tinto,62.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-dos-avidagos-grande-reserva-douro-vinho-tinto-quinta-dos-avidagos-7695478.html,7695478
1960,Primavera Bairrada Vinho Tinto,5.79,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/primavera-bairrada-vinho-tinto-primavera-7695158.html,7695158
1961,Ramos Pinto Porto Vintage 1982,143.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/ramos-pinto-porto-vintage-1982-ramos-pinto-7768753.html,7768753
1962,São Pedro das Águias 40 Anos Vinho do Porto Tawny,121.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/sao-pedro-das-aguias-40-anos-vinho-do-porto-tawny-sao-pedro-das-aguias-7769025.html,7769025
1963,Kelman Touriga Nacional Dão Vinho Tinto,20.39,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/kelman-touriga-nacional-dao-vinho-tinto-kelman-7770766.html,7770766
1964,Quinta do Ameal Solo Único Branco Vinho Verde Branco,26.20,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-do-ameal-solo-unico-branco-vinho-verde-branco-quinta-do-ameal-7695043.html,7695043
1965,Marquês de Lara Chardonnay Regional Minho Vinho Branco,8.59,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/marques-de-lara-chardonnay-regional-minho-vinho-branco-marques-de-lara-7454295.html,7454295
1966,Maynard's White Vinho do Porto Colheita 1962,285.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/maynards-white-vinho-do-porto-colheita-1962-maynards-7696171.html,7696171
1967,Quinta de Lubazim Reserva Douro Vinho Tinto,19.19,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-de-lubazim-reserva-douro-vinho-tinto-quinta-de-lubazim-7695980.html,7695980
1968,Niepoort Vinho do Porto Vintage 2019,96.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/niepoort-vinho-do-porto-vintage-2019-niepoort-7695143.html,7695143
1969,Quinta de Lemos Jaen Dão Vinho Tinto,18.29,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-de-lemos-jaen-dao-vinho-tinto-quinta-de-lemos-7770659.html,7770659
1970,Ortigão Sauvignon Blanc Bairrada Vinho Branco,12.29,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/ortigao-sauvignon-blanc-bairrada-vinho-branco-ortigao-7695627.html,7695627
1971,Lufinha Setúbal Vinho Tinto,28.20,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/lufinha-setubal-vinho-tinto-herdade-do-cebolal-7770015.html,7770015
1972,Montes Claros Reserva Alentejo Vinho Tinto,9.59,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/montes-claros-reserva-alentejo-vinho-tinto-montes-claros-7770965.html,7770965
1973,Quinta Maria Izabel M.I. Douro Vinho Tinto,9.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-maria-izabel-m.i.-douro-vinho-tinto-quinta-maria-izabel-7695797.html,7695797
1974,Poeira Vinha da Torre Douro Vinho Tinto,96.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/poeira-vinha-da-torre-douro-vinho-tinto-poeira-7695496.html,7695496
1975,Wine Note by Vinha de Reis Dão Vinho Tinto,29.10,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/wine-note-by-vinha-de-reis-dao-vinho-tinto-vinha-de-reis-7770670.html,7770670
1976,António Madeira Colheita Dão Vinho Tinto,18.79,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/antonio-madeira-colheita-dao-vinho-tinto-antonio-madeira-7696170.html,7696170
1977,Quinta das Tecedeiras Reserva DOC Douro Vinho Tinto,26.00,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/quinta-das-tecedeiras-reserva-doc-douro-vinho-tinto-quinta-das-tecedeiras-6588801.html,6588801
1978,Adega Palmela Vinho Moscatel de Setúbal 10 Anos,16.99,garrafa 75 cl,15,premiado,https://www.continente.pt/produto/adega-palmela-vinho-moscatel-de-setubal-10-anos-adega-palmela-7208526.html,7208526
1979,Quevedo Vinho do Porto Tawny,11.69,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quevedo-vinho-do-porto-tawny-quevedo-7768928.html,7768928
1980,Quinta de San Michel Arinto Lisboa Vinho Branco,29.10,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-de-san-michel-arinto-lisboa-vinho-branco-quinta-de-san-michel-7770124.html,7770124
1981,Solar dos Lobos Grande Escolha Regional Alentejano Vinho Tinto,29.90,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/solar-dos-lobos-grande-escolha-regional-alentejano-vinho-tinto-solar-dos-lobos-4682020.html,4682020
1982,Martha's Vinho do Porto Vintage 2017,59.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/marthas-vinho-do-porto-vintage-2017-marthas-7028911.html,7028911
1983,Dona Ermelinda Sauvignon Blanc Setúbal Vinho Branco,9.99,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/dona-ermelinda-sauvignon-blanc-setubal-vinho-branco-dona-ermelinda-7770066.html,7770066
1984,1000 Curvas Chardonnay Alvarinho Vinho Verde Branco,12.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/1000-curvas-chardonnay-alvarinho-vinho-verde-branco-1000-curvas-7695856.html,7695856
1985,Monte da Ribeira Alentejo Vinho Tinto,6.09,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/monte-da-ribeira-alentejo-vinho-tinto-monte-da-ribeira-7696136.html,7696136
1986,Ninfa Grande Reserva Tejo Vinho Tinto,37.90,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/ninfa-grande-reserva-tejo-vinho-tinto-ninfa-7695872.html,7695872
1987,Campolargo Dão Vinho Tinto,16.29,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/campolargo-dao-vinho-tinto-campolargo-7770712.html,7770712
1988,Quinta do Mondego Munda Encruzado Dão Vinho Branco,22.59,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-do-mondego-munda-encruzado-dao-vinho-branco-quinta-do-mondego-7695558.html,7695558
1989,Valriz Vinho do Porto Ruby,7.09,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/valriz-vinho-do-porto-ruby-valriz-7696089.html,7696089
1990,Torres Celeste Vinho Tinto,18.99,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/torres-celeste-vinho-tinto-torres-7456005.html,7456005
1991,Croft Vinho do Porto Vintage 2016,95.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/croft-vinho-do-porto-vintage-2016-croft-7455969.html,7455969
1992,Cossart Gordon 5 Anos Bual Vinho da Madeira Meio Doce,19.19,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/cossart-gordon-5-anos-bual-vinho-da-madeira-meio-doce-cossart-gordon-7454318.html,7454318
1993,Mamoré de Borba Reserva DOC Alentejo Vinho Tinto,23.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/mamore-de-borba-reserva-doc-alentejo-vinho-tinto-mamore-de-borba-6916955.html,6916955
1994,Thermanthia Espanha Vinho Tinto,252.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/thermanthia-espanha-vinho-tinto-termanthia-7456020.html,7456020
1995,Marquesa de Cadaval Tejo Vinho Tinto,38.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/marquesa-de-cadaval-tejo-vinho-tinto-casa-de-cadaval-7769426.html,7769426
1996,Adega de Pegões Alicante Bouschet Setúbal Vinho Tinto,7.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/adega-de-pegoes-alicante-bouschet-setubal-vinho-tinto-adega-de-pegoes-7770029.html,7770029
1997,Porches Algarve Vinho Tinto,5.09,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/porches-algarve-vinho-tinto-porches-7770904.html,7770904
1998,Amantis Reserva Alentejo Vinho Tinto,15.89,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/amantis-reserva-alentejo-vinho-tinto-amantis-7695476.html,7695476
1999,Herdade Grande Alentejo Vinho Branco,9.69,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/herdade-grande-alentejo-vinho-branco-herdade-grande-7771136.html,7771136
2000,Quinta do Noval Vinho do Porto Tawny 20 Anos,112.00,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/quinta-do-noval-vinho-do-porto-tawny-20-anos-quinta-do-noval-5427543.html,5427543
2001,Venda Grande Escolha Vinho Verde Branco,8.39,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/venda-grande-escolha-vinho-verde-branco-venda-grande-7769372.html,7769372
2002,Quinta Nogueira Reserva Lisboa Vinho Tinto,20.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-nogueira-reserva-lisboa-vinho-tinto-quinta-nogueira-7696119.html,7696119
2003,Ferradosa Vinhas Velhas DOC Douro Vinho Tinto,45.00,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/ferradosa-vinhas-velhas-doc-douro-vinho-tinto-ferradosa-6588793.html,6588793
